"","Class","Technology","Year_2022","Year_2023","Year_2024","Year_2025","Year_2026","Avg_Annual_Energy_","Avg_Net_Cap","Avg_CAPEX","Avg_Construct_Finance_Costs","Avg_Overnight_Cap_Costs","Avg_Fixed_OM","Avg_Variable_OM","Avg_Grid_Connect_Cost","Avg_LCOE"
"1","1","Advanced"," 2771 "," 2798 "," 2825 "," 2853 "," 2880 ",2825.4,32.4,1492.6,51.6,1338.6,21.6,0,102.4,37.6
"2","1","Moderate"," 2759 "," 2775 "," 2790 "," 2806 "," 2821 ",2790.2,31.8,1513.8,52.6,1354.2,21.8,0,107.2,38.6
"3","1","Conservative"," 2743 "," 2743 "," 2743 "," 2743 "," 2743 ",2743,31,1543.2,53.4,1377.6,22.2,0,112.2,39.8
"4","2","Advanced"," 2680 "," 2706 "," 2733 "," 2759 "," 2785 ",2732.6,31.2,1492.6,51.6,1338.6,21.6,0,102.4,38.8
"5","2","Moderate"," 2669 "," 2684 "," 2699 "," 2713 "," 2728 ",2698.6,30.8,1513.8,52.6,1354.2,21.8,0,107.2,39.8
"6","2","Conservative"," 2654 "," 2654 "," 2654 "," 2654 "," 2654 ",2654,30,1543.2,53.4,1377.6,22.2,0,112.2,41.4
"7","3","Advanced"," 2554 "," 2580 "," 2606 "," 2632 "," 2658 ",2606,29.6,1492.6,51.6,1338.6,21.6,0,102.4,40.8
"8","3","Moderate"," 2543 "," 2557 "," 2572 "," 2587 "," 2602 ",2572.2,29.4,1513.8,52.6,1354.2,21.8,0,107.2,41.8
"9","3","Conservative"," 2528 "," 2528 "," 2528 "," 2528 "," 2528 ",2528,29,1543.2,53.4,1377.6,22.2,0,112.2,43.4
"10","4","Advanced"," 2432 "," 2458 "," 2484 "," 2510 "," 2536 ",2484,28.4,1492.6,51.6,1338.6,21.6,0,102.4,42.8
"11","4","Moderate"," 2421 "," 2436 "," 2451 "," 2466 "," 2481 ",2451,28,1513.8,52.6,1354.2,21.8,0,107.2,44
"12","4","Conservative"," 2406 "," 2406 "," 2406 "," 2406 "," 2406 ",2406,27,1543.2,53.4,1377.6,22.2,0,112.2,45.4
"13","5","Advanced"," 2311 "," 2336 "," 2361 "," 2386 "," 2411 ",2361,27,1492.6,51.6,1338.6,21.6,0,102.4,45.2
"14","5","Moderate"," 2300 "," 2315 "," 2329 "," 2344 "," 2358 ",2329.2,26.6,1513.8,52.6,1354.2,21.8,0,107.2,46.2
"15","5","Conservative"," 2286 "," 2286 "," 2286 "," 2286 "," 2286 ",2286,26,1543.2,53.4,1377.6,22.2,0,112.2,48.2
"16","6","Advanced"," 2191 "," 2216 "," 2240 "," 2265 "," 2289 ",2240.2,25.6,1492.6,51.6,1338.6,21.6,0,102.4,47.4
"17","6","Moderate"," 2181 "," 2195 "," 2209 "," 2223 "," 2237 ",2209,25.2,1513.8,52.6,1354.2,21.8,0,107.2,48.6
"18","6","Conservative"," 2167 "," 2167 "," 2167 "," 2167 "," 2167 ",2167,25,1543.2,53.4,1377.6,22.2,0,112.2,50.4
"19","7","Advanced"," 2079 "," 2103 "," 2126 "," 2150 "," 2174 ",2126.4,24.4,1492.6,51.6,1338.6,21.6,0,102.4,50
"20","7","Moderate"," 2069 "," 2083 "," 2096 "," 2110 "," 2124 ",2096.4,24,1513.8,52.6,1354.2,21.8,0,107.2,51.2
"21","7","Conservative"," 2055 "," 2055 "," 2055 "," 2055 "," 2055 ",2055,23,1543.2,53.4,1377.6,22.2,0,112.2,53.2
"22","8","Advanced"," 1999 "," 2022 "," 2044 "," 2067 "," 2090 ",2044.4,23.4,1492.6,51.6,1338.6,21.6,0,102.4,52
"23","8","Moderate"," 1989 "," 2003 "," 2016 "," 2029 "," 2042 ",2015.8,23,1513.8,52.6,1354.2,21.8,0,107.2,53.4
"24","8","Conservative"," 1976 "," 1976 "," 1976 "," 1976 "," 1976 ",1976,23,1543.2,53.4,1377.6,22.2,0,112.2,55.4
"25","9","Advanced"," 1902 "," 1924 "," 1946 "," 1968 "," 1990 ",1946,22.2,1492.6,51.6,1338.6,21.6,0,102.4,54.6
"26","9","Moderate"," 1893 "," 1906 "," 1919 "," 1931 "," 1944 ",1918.6,22,1513.8,52.6,1354.2,21.8,0,107.2,56.2
"27","9","Conservative"," 1880 "," 1880 "," 1880 "," 1880 "," 1880 ",1880,21,1543.2,53.4,1377.6,22.2,0,112.2,58.2
"28","10","Advanced"," 1745 "," 1766 "," 1787 "," 1807 "," 1828 ",1786.6,20.4,1492.6,51.6,1338.6,21.6,0,102.4,59.6
"29","10","Moderate"," 1737 "," 1749 "," 1761 "," 1773 "," 1785 ",1761,20,1513.8,52.6,1354.2,21.8,0,107.2,61.2
"30","10","Conservative"," 1725 "," 1725 "," 1725 "," 1725 "," 1725 ",1725,20,1543.2,53.4,1377.6,22.2,0,112.2,63.4
