"","Class","Technology","Year","Net Capacity Factor (%)","Annual Generation (MWh)","CAPEX ($/kW)","Construction Finance Costs ($/kW)","Overnight Capital Costs ($/kW)","Fixed Operations and Maintenance ($/kW-yr)","Grid Connection Costs ($/kW)","LCOE ($/MWh)"
"1","1","Advanced","2022","32"," 2771 ","1483","51","1367 ","24 ","65","39"
"2","1","Advanced","2023","32"," 2798 ","1611","56","1435 ","22 ","120","41"
"3","1","Advanced","2024","32"," 2825 ","1534","53","1366 ","21 ","115","38"
"4","1","Advanced","2025","33"," 2853 ","1456","50","1297 ","21 ","109","36"
"5","1","Advanced","2026","33"," 2880 ","1379","48","1228 ","20 ","103","34"
"6","1","Moderate","2022","31"," 2759 ","1483","51","1367 ","24 ","65","39"
"7","1","Moderate","2023","32"," 2775 ","1611","56","1435 ","22 ","120","41"
"8","1","Moderate","2024","32"," 2790 ","1551","54","1379 ","22 ","119","39"
"9","1","Moderate","2025","32"," 2806 ","1492","52","1323 ","21 ","117","38"
"10","1","Moderate","2026","32"," 2821 ","1432","50","1267 ","20 ","115","36"
"11","1","Conservative","2022","31"," 2743 ","1483","51","1367 ","24 ","65","39"
"12","1","Conservative","2023","31"," 2743 ","1611","56","1435 ","22 ","120","41"
"13","1","Conservative","2024","31"," 2743 ","1576","55","1398 ","22 ","123","40"
"14","1","Conservative","2025","31"," 2743 ","1541","53","1362 ","22 ","125","40"
"15","1","Conservative","2026","31"," 2743 ","1505","52","1326 ","21 ","128","39"
"16","2","Advanced","2022","31"," 2680 ","1483","51","1367 ","24 ","65","40"
"17","2","Advanced","2023","31"," 2706 ","1611","56","1435 ","22 ","120","42"
"18","2","Advanced","2024","31"," 2733 ","1534","53","1366 ","21 ","115","40"
"19","2","Advanced","2025","31"," 2759 ","1456","50","1297 ","21 ","109","37"
"20","2","Advanced","2026","32"," 2785 ","1379","48","1228 ","20 ","103","35"
"21","2","Moderate","2022","30"," 2669 ","1483","51","1367 ","24 ","65","40"
"22","2","Moderate","2023","31"," 2684 ","1611","56","1435 ","22 ","120","42"
"23","2","Moderate","2024","31"," 2699 ","1551","54","1379 ","22 ","119","41"
"24","2","Moderate","2025","31"," 2713 ","1492","52","1323 ","21 ","117","39"
"25","2","Moderate","2026","31"," 2728 ","1432","50","1267 ","20 ","115","37"
"26","2","Conservative","2022","30"," 2654 ","1483","51","1367 ","24 ","65","41"
"27","2","Conservative","2023","30"," 2654 ","1611","56","1435 ","22 ","120","43"
"28","2","Conservative","2024","30"," 2654 ","1576","55","1398 ","22 ","123","42"
"29","2","Conservative","2025","30"," 2654 ","1541","53","1362 ","22 ","125","41"
"30","2","Conservative","2026","30"," 2654 ","1505","52","1326 ","21 ","128","40"
"31","3","Advanced","2022","29"," 2554 ","1483","51","1367 ","24 ","65","42"
"32","3","Advanced","2023","29"," 2580 ","1611","56","1435 ","22 ","120","44"
"33","3","Advanced","2024","30"," 2606 ","1534","53","1366 ","21 ","115","42"
"34","3","Advanced","2025","30"," 2632 ","1456","50","1297 ","21 ","109","39"
"35","3","Advanced","2026","30"," 2658 ","1379","48","1228 ","20 ","103","37"
"36","3","Moderate","2022","29"," 2543 ","1483","51","1367 ","24 ","65","42"
"37","3","Moderate","2023","29"," 2557 ","1611","56","1435 ","22 ","120","44"
"38","3","Moderate","2024","29"," 2572 ","1551","54","1379 ","22 ","119","43"
"39","3","Moderate","2025","30"," 2587 ","1492","52","1323 ","21 ","117","41"
"40","3","Moderate","2026","30"," 2602 ","1432","50","1267 ","20 ","115","39"
"41","3","Conservative","2022","29"," 2528 ","1483","51","1367 ","24 ","65","43"
"42","3","Conservative","2023","29"," 2528 ","1611","56","1435 ","22 ","120","45"
"43","3","Conservative","2024","29"," 2528 ","1576","55","1398 ","22 ","123","44"
"44","3","Conservative","2025","29"," 2528 ","1541","53","1362 ","22 ","125","43"
"45","3","Conservative","2026","29"," 2528 ","1505","52","1326 ","21 ","128","42"
"46","4","Advanced","2022","28"," 2432 ","1483","51","1367 ","24 ","65","44"
"47","4","Advanced","2023","28"," 2458 ","1611","56","1435 ","22 ","120","46"
"48","4","Advanced","2024","28"," 2484 ","1534","53","1366 ","21 ","115","44"
"49","4","Advanced","2025","29"," 2510 ","1456","50","1297 ","21 ","109","41"
"50","4","Advanced","2026","29"," 2536 ","1379","48","1228 ","20 ","103","39"
"51","4","Moderate","2022","28"," 2421 ","1483","51","1367 ","24 ","65","44"
"52","4","Moderate","2023","28"," 2436 ","1611","56","1435 ","22 ","120","47"
"53","4","Moderate","2024","28"," 2451 ","1551","54","1379 ","22 ","119","45"
"54","4","Moderate","2025","28"," 2466 ","1492","52","1323 ","21 ","117","43"
"55","4","Moderate","2026","28"," 2481 ","1432","50","1267 ","20 ","115","41"
"56","4","Conservative","2022","27"," 2406 ","1483","51","1367 ","24 ","65","45"
"57","4","Conservative","2023","27"," 2406 ","1611","56","1435 ","22 ","120","47"
"58","4","Conservative","2024","27"," 2406 ","1576","55","1398 ","22 ","123","46"
"59","4","Conservative","2025","27"," 2406 ","1541","53","1362 ","22 ","125","45"
"60","4","Conservative","2026","27"," 2406 ","1505","52","1326 ","21 ","128","44"
"61","5","Advanced","2022","26"," 2311 ","1483","51","1367 ","24 ","65","47"
"62","5","Advanced","2023","27"," 2336 ","1611","56","1435 ","22 ","120","49"
"63","5","Advanced","2024","27"," 2361 ","1534","53","1366 ","21 ","115","46"
"64","5","Advanced","2025","27"," 2386 ","1456","50","1297 ","21 ","109","43"
"65","5","Advanced","2026","28"," 2411 ","1379","48","1228 ","20 ","103","41"
"66","5","Moderate","2022","26"," 2300 ","1483","51","1367 ","24 ","65","47"
"67","5","Moderate","2023","26"," 2315 ","1611","56","1435 ","22 ","120","49"
"68","5","Moderate","2024","27"," 2329 ","1551","54","1379 ","22 ","119","47"
"69","5","Moderate","2025","27"," 2344 ","1492","52","1323 ","21 ","117","45"
"70","5","Moderate","2026","27"," 2358 ","1432","50","1267 ","20 ","115","43"
"71","5","Conservative","2022","26"," 2286 ","1483","51","1367 ","24 ","65","47"
"72","5","Conservative","2023","26"," 2286 ","1611","56","1435 ","22 ","120","50"
"73","5","Conservative","2024","26"," 2286 ","1576","55","1398 ","22 ","123","49"
"74","5","Conservative","2025","26"," 2286 ","1541","53","1362 ","22 ","125","48"
"75","5","Conservative","2026","26"," 2286 ","1505","52","1326 ","21 ","128","47"
"76","6","Advanced","2022","25"," 2191 ","1483","51","1367 ","24 ","65","49"
"77","6","Advanced","2023","25"," 2216 ","1611","56","1435 ","22 ","120","51"
"78","6","Advanced","2024","26"," 2240 ","1534","53","1366 ","21 ","115","48"
"79","6","Advanced","2025","26"," 2265 ","1456","50","1297 ","21 ","109","46"
"80","6","Advanced","2026","26"," 2289 ","1379","48","1228 ","20 ","103","43"
"81","6","Moderate","2022","25"," 2181 ","1483","51","1367 ","24 ","65","49"
"82","6","Moderate","2023","25"," 2195 ","1611","56","1435 ","22 ","120","52"
"83","6","Moderate","2024","25"," 2209 ","1551","54","1379 ","22 ","119","50"
"84","6","Moderate","2025","25"," 2223 ","1492","52","1323 ","21 ","117","47"
"85","6","Moderate","2026","26"," 2237 ","1432","50","1267 ","20 ","115","45"
"86","6","Conservative","2022","25"," 2167 ","1483","51","1367 ","24 ","65","50"
"87","6","Conservative","2023","25"," 2167 ","1611","56","1435 ","22 ","120","52"
