"","...1","Class","Technology","Net_Cap_Factor","Annual_Energy_Production","CAPEX","Construct_Finance_Costs","Overnight_Cap_Costs","Fixed_OM","Variable_OM","Grid_Connect_Cost","LCOE"
"1",1,"1","Advanced",32.4,2825.4,1492.6,51.6,1338.6,21.6,0,102.4,37.6
"2",2,"1","Moderate",31.8,2790.2,1513.8,52.6,1354.2,21.8,0,107.2,38.6
"3",3,"1","Conservative",31,2743,1543.2,53.4,1377.6,22.2,0,112.2,39.8
"4",4,"2","Advanced",31.2,2732.6,1492.6,51.6,1338.6,21.6,0,102.4,38.8
"5",5,"2","Moderate",30.8,2698.6,1513.8,52.6,1354.2,21.8,0,107.2,39.8
"6",6,"2","Conservative",30,2654,1543.2,53.4,1377.6,22.2,0,112.2,41.4
"7",7,"3","Advanced",29.6,2606,1492.6,51.6,1338.6,21.6,0,102.4,40.8
"8",8,"3","Moderate",29.4,2572.2,1513.8,52.6,1354.2,21.8,0,107.2,41.8
"9",9,"3","Conservative",29,2528,1543.2,53.4,1377.6,22.2,0,112.2,43.4
"10",10,"4","Advanced",28.4,2484,1492.6,51.6,1338.6,21.6,0,102.4,42.8
"11",11,"4","Moderate",28,2451,1513.8,52.6,1354.2,21.8,0,107.2,44
"12",12,"4","Conservative",27,2406,1543.2,53.4,1377.6,22.2,0,112.2,45.4
"13",13,"5","Advanced",27,2361,1492.6,51.6,1338.6,21.6,0,102.4,45.2
"14",14,"5","Moderate",26.6,2329.2,1513.8,52.6,1354.2,21.8,0,107.2,46.2
"15",15,"5","Conservative",26,2286,1543.2,53.4,1377.6,22.2,0,112.2,48.2
"16",16,"6","Advanced",25.6,2240.2,1492.6,51.6,1338.6,21.6,0,102.4,47.4
"17",17,"6","Moderate",25.2,2209,1513.8,52.6,1354.2,21.8,0,107.2,48.6
"18",18,"6","Conservative",25,2167,1543.2,53.4,1377.6,22.2,0,112.2,50.4
"19",19,"7","Advanced",24.4,2126.4,1492.6,51.6,1338.6,21.6,0,102.4,50
"20",20,"7","Moderate",24,2096.4,1513.8,52.6,1354.2,21.8,0,107.2,51.2
"21",21,"7","Conservative",23,2055,1543.2,53.4,1377.6,22.2,0,112.2,53.2
"22",22,"8","Advanced",23.4,2044.4,1492.6,51.6,1338.6,21.6,0,102.4,52
"23",23,"8","Moderate",23,2015.8,1513.8,52.6,1354.2,21.8,0,107.2,53.4
"24",24,"8","Conservative",23,1976,1543.2,53.4,1377.6,22.2,0,112.2,55.4
"25",25,"9","Advanced",22.2,1946,1492.6,51.6,1338.6,21.6,0,102.4,54.6
"26",26,"9","Moderate",22,1918.6,1513.8,52.6,1354.2,21.8,0,107.2,56.2
"27",27,"9","Conservative",21,1880,1543.2,53.4,1377.6,22.2,0,112.2,58.2
"28",28,"10","Advanced",20.4,1786.6,1492.6,51.6,1338.6,21.6,0,102.4,59.6
"29",29,"10","Moderate",20,1761,1513.8,52.6,1354.2,21.8,0,107.2,61.2
"30",30,"10","Conservative",20,1725,1543.2,53.4,1377.6,22.2,0,112.2,63.4
